group,sentence,source
反问句,难道我们不应该珍惜时间吗？,
反问句,这么好的天气，难道你不想出去走走吗？,
反问句,我们怎能忘记老师的谆谆教诲呢？,
反问句,不劳动，连棵花也养不活，这难道不是真理吗？,
反问句,这比山还高比海还深的情谊，我们怎么能忘怀？,
反问句,你难道不知道保护环境是每个人的责任吗？,
反问句,不好好学习，将来怎么能实现自己的梦想呢？,
反问句,听了这感人的故事后，你不觉得我们的战士是可爱的吗？,
反问句,难道你不觉得大自然是一位神奇的画家吗？,
反问句,父母为我们付出了这么多，我们又怎么能辜负他们的期望呢？,
反问句,一个不遵守规则的人，又怎么能得到别人的尊重呢？,
反问句,一寸光阴一寸金，我们难道不应该珍惜每一分每一秒吗？,
反问句,看到别人有困难，我们怎么能袖手旁观呢？,
反问句,如果我们每个人都随手扔垃圾，我们的家园还会美丽吗？,
反问句,失败是成功之母，我怎么能因为一次失败就放弃呢？,
反问句,书是人类进步的阶梯，不读书怎么会进步呢？,
反问句,团结就是力量，难道这个道理你还不明白吗？,
反问句,没有什么比健康更重要，难道不是吗？,
反问句,看到妈妈疲惫的身影，我怎能不心疼呢？,
反问句,人生能有几回搏？此时不搏何时搏？,
反问句,朋友之间难道不应该互相信任吗？,
反问句,天下没有免费的午餐，不付出怎么会有收获呢？,
反问句,人人都献出一点爱，世界将变成美好的人间，这不是最好的道理吗？,
反问句,幸福不会从天而降，不努力又怎能尝到甜头呢？,
反问句,你连尝试都不敢，又怎么知道自己不行？,
反问句,这世界那么大，难道你不想去看看吗？,
反问句,连小草都知道向阳而生，我们又怎能自暴自弃？,
反问句,灯光再微弱，也能照亮脚下的路，我有什么理由说放弃？,
反问句,困难像弹簧，你弱它就强——这个道理难道还用多说吗？,
反问句,如果人人都冷漠，这世界谁来温暖？,
反问句,难道非要等到失去了，才知道拥有的珍贵吗？,
反问句,与其抱怨天黑，不如点燃蜡烛，不是吗？,
反问句,没有谁生来就会飞，不摔几次怎么能学会？,
反问句,只要肯迈出第一步，离终点就近了一步，不是吗？,
反问句,海不辞水，故能成其大——这不正是宽容的力量吗？,
反问句,山不辞土石，故能成其高——这不正是坚持的意义吗？,
反问句,阳光不问屋檐高低，照样温暖每寸土地——爱又何尝不是如此？,
反问句,既然选择了远方，又何必在乎脚下是荆棘还是坦途？,
反问句,在这个美好的世界里，谁愿意做那个冷漠的过客呢？,
设问句,什么是幸福？幸福就是一家人在一起快快乐乐地生活。,
设问句,春天在哪里？春天在嫩绿的柳枝里，在盛开的花朵里，在小朋友灿烂的笑脸里。,
设问句,什么是勇气？勇气就是明知道害怕，还敢去做应该做的事。,
设问句,是谁把小草叫醒了？是春风姑娘，她轻轻一吹，小草就从泥土里探出了头。,
设问句,什么是真正的朋友？真正的朋友不是在你成功时为你鼓掌的人，而是在你失败时扶你一把的人。,
设问句,是谁敲醒了山林？是谁润开了花朵？是谁激活了河流？是我，春天的小雨点。,
设问句,什么是生命？生命就是一颗种子破土而出的勇气。,
设问句,谁是最可爱的人？是那些默默无闻、无私奉献的人们。,
设问句,为什么说母爱是伟大的？因为母亲为了孩子可以付出自己的一切。,
设问句,智慧是什么？智慧不是书本上的知识，而是运用知识的能力。,
设问句,一滴水怎样才能不干涸？把它放进大海里。,
设问句,"""叮咚叮咚""是谁在唱着清脆悦耳的歌谣呢？我是一条清澈的小溪。",
设问句,真正的美是什么？是心灵的美，是善良的美，是助人为乐的美。,
设问句,你知道世界上最珍贵的是什么吗？是时间，因为时间一去不复返。,
设问句,成功的秘诀是什么？是勤奋，是坚持，是不怕失败的勇气。,
设问句,是谁让小草破土而出？是谁让花儿竞相开放？是温暖的春天。,
设问句,青春是什么？青春是一首奋斗的歌，是一本多彩的书，是一幅绚丽的画。,
设问句,读书是为了什么？是为了遇见更好的自己，是为了拥有更广阔的天地。,
设问句,什么是最好的礼物？不是昂贵的玩具，而是家人温暖的陪伴。,
设问句,为什么说劳动最光荣？因为劳动创造了世界，创造了美，创造了幸福的生活。,
设问句,我的乐园在哪里？既不是热闹非凡的游乐场，也不是碧波荡漾的游泳池，而是我那温馨的卧室。,
设问句,"""滴答，滴答""是谁在唱歌？是春雨姑娘轻轻地敲打着窗户。",
设问句,什么是信念？信念就是当所有人都说不可能的时候，你依然选择相信。,
设问句,希望是什么？希望是寒冬里的一抹绿意，是黑暗中透进的一丝光。,
设问句,成长的滋味是什么？是酸中带甜的青苹果，是苦后有回甘的茶。,
设问句,这世界上什么力量最大？是种子发芽的力量，因为它有顶开头上的石头的勇气。,
设问句,爱是什么？爱是清晨妈妈端来的那杯热牛奶，是爸爸深夜为你掖好的被角。,
设问句,什么是坚持？坚持不是百米冲刺，而是一场和自己较量的马拉松。,
设问句,假如时间可以倒流，你还会选择同样的路吗？我想我会，因为每一步都算数。,
设问句,什么是梦想？梦想是夜空中最亮的那颗星，是心里永远不灭的光。,
设问句,未来在哪里？未来就在你每一个今天的努力里。,
设问句,怎样才能不辜负这大好春光？去爱，去闯，去把每一天过成诗。,
设问句,是什么让沙漠中的仙人掌活了下来？不是运气，是它懂得把每一滴水都存进心里。,
设问句,什么人最富有？不是拥有最多的人，而是需求最少的人。,
设问句,"人最大的敌人是谁？不是别人，正是那个总说""我不行""的自己。",
设问句,什么比黄金更珍贵？是一颗永远对世界保持好奇的心。,
设问句,怎样才能让世界变得更美好？从你的一个微笑开始。,
设问句,是谁在夜色中点起了万家灯火？是归家的人，是等你的人，是爱。,
设问句,感恩是什么？是记得每一滴雨露的恩泽，然后开出一朵花来回报春天。,
设问句,故乡是什么？故乡是小时候拼命想离开，长大后却再也回不去的地方。,
设问句,人生最大的幸福是什么？是有事做，有人爱，有所期待。,
