group,sentence,explanation,example
动物类,老鼠过街——人人喊打,比喻坏人坏事人人痛恨，大家一起来反对。,那个小偷被警察追捕时，真是老鼠过街人人喊打。
动物类,黄鼠狼给鸡拜年——没安好心,比喻表面上友好，实际上心怀恶意，不怀好意。,他忽然对我这么好，我觉得是黄鼠狼给鸡拜年——没安好心。
动物类,猫哭耗子——假慈悲,比喻假装同情受害者，实际上是假心假意。,他嘴上说很同情她，其实是猫哭耗子假慈悲。
动物类,狗咬吕洞宾——不识好人心,比喻不辨是非，把好心人当成了坏人。,我好心帮他，他却骂我多管闲事，真是狗咬吕洞宾不识好人心。
动物类,兔子尾巴——长不了,比喻事物持续不了多久，很快就会结束。,他的坏习惯是兔子尾巴长不了，没过几天就改掉了。
动物类,老虎屁股——摸不得,比喻某人很厉害或脾气很大，不敢招惹。,他正在气头上，简直是老虎屁股摸不得。
动物类,井底青蛙——目光短浅,比喻见识狭窄，看不到更广阔的世界。,我们要多读书，不能像井底青蛙一样目光短浅。
动物类,飞蛾扑火——自取灭亡,比喻自找死路，主动去送死。,他明知道有危险还往里冲，简直是飞蛾扑火自取灭亡。
动物类,对牛弹琴——白费劲,比喻说话不看对象，讲道理给不懂的人听，白费力气。,跟他讲这个道理简直是对牛弹琴白费劲。
动物类,虎落平阳——被犬欺,比喻英雄在失势时，连普通人都可以欺负他。,队长受伤不能上场，真是虎落平阳被犬欺。
动物类,麻雀虽小——五脏俱全,比喻事物虽然体量小，但该有的东西都有。,我们学校虽然不大，但是麻雀虽小五脏俱全。
动物类,鸡飞蛋打——一场空,比喻两头落空，什么也没得到。,他两边都想讨好，结果鸡飞蛋打一场空。
动物类,牛头不对马嘴——胡扯,比喻答非所问，或者说话前后不搭。,他的回答简直是牛头不对马嘴胡扯一通。
动物类,螃蟹过街——横行霸道,比喻仗势欺人，蛮不讲理地欺负别人。,他仗着个子大就欺负同学，像螃蟹过街横行霸道。
动物类,猴子捞月——一场空,比喻追求虚幻的东西，到头来白费力气。,他整天做白日梦，最后不过是猴子捞月一场空。
动物类,猴子掰玉米——掰一个丢一个,比喻做事不专注，一边做一边忘，最后什么也没得到。,他学东西猴子掰玉米掰一个丢一个，到头来什么也没学会。
动物类,猪八戒照镜子——里外不是人,比喻两边都不讨好，怎么做都不对。,他帮妈妈不对，帮爸爸也不对，真成了猪八戒照镜子里外不是人。
动物类,猪鼻子插葱——装象,比喻故意装腔作势，装模作样。,他明明不懂这道题，还猪鼻子插葱装象。
动物类,乌鸦落在猪身上——只看到别人黑,比喻只看到别人的缺点，看不到自己的缺点。,你总说别人做得不好，这不是乌鸦落在猪身上只看到别人黑吗。
动物类,蜗牛爬树——慢腾腾,比喻动作非常缓慢，不着急。,他写作业像蜗牛爬树慢腾腾的。
动物类,猫捉老鼠——天经地义,比喻理所当然的事情，就像猫天生会抓老鼠一样。,警察抓坏人是猫捉老鼠天经地义。
动物类,狗拿耗子——多管闲事,比喻做不该自己管的事情，管得太宽了。,这件事和你没关系，你别狗拿耗子多管闲事。
动物类,狗仗人势——欺软怕硬,比喻仗着别人的势力欺负弱小。,他仗着哥哥当班长就欺负同学，真是狗仗人势。
动物类,狐狸吵架——一派胡言,比喻说话完全没有道理，全是胡说。,他说的那些话完全是狐狸吵架一派胡言。
动物类,狐狸尾巴——藏不住,比喻坏主意或坏事迟早会暴露出来。,他做了坏事，狐狸尾巴藏不住，很快就被发现了。
动物类,狼来了——没人信,比喻经常说谎或骗人，等说真话时也没人相信了。,他总是撒谎，现在他说什么都是狼来了没人信。
动物类,蛇吞大象——不自量力,比喻能力不够却想做大事，太不自量力了。,他想一个人搬动这块大石头，简直是蛇吞大象不自量力。
动物类,鱼目混珠——以假乱真,比喻拿假的东西冒充真的东西。,这些假货鱼目混珠以假乱真，很难分辨。
动物类,虾兵蟹将——成不了大气候,比喻一群乌合之众，做不成大事。,这些坏蛋都是虾兵蟹将成不了大气候。
动物类,乌龟爬门槛——但看此一番,比喻到了关键时刻，成败就看这次行动了。,这次考试就是乌龟爬门槛但看此一番了。
动物类,龟兔赛跑——骄傲使人落后,比喻骄傲自满会让人失败，哪怕本来很有优势。,我们学习上不能骄傲，龟兔赛跑骄傲使人落后。
动物类,螳臂当车——不自量力,比喻想用微小的力量阻挡强大的力量，实在不自量力。,他想一个人对抗整个篮球队，简直是螳臂当车不自量力。
动物类,蜻蜓点水——浅尝辄止,比喻做事只停留在表面，不深入下去。,他读书总是蜻蜓点水浅尝辄止，所以学得不扎实。
动物类,蚂蚁搬家——大家动口,比喻很多人一起行动，人多力量大。,大扫除的时候大家蚂蚁搬家大家动口，很快就做完了。
人物类,八仙过海——各显神通,比喻各人有各人的办法，各自展示自己的本领。,运动会上，同学们八仙过海各显神通。
人物类,包公断案——铁面无私,比喻办事公正严明，不讲情面。,老师处理问题像包公断案铁面无私。
人物类,诸葛亮借东风——神机妙算,比喻人非常聪明，能够精准预判形势。,他早就料到会下雨，带了伞，真是诸葛亮借东风神机妙算。
人物类,张飞穿针——粗中有细,比喻看起来很粗心大意的人，其实也有细心的一面。,别看他平时大大咧咧的，做手工时却是张飞穿针粗中有细。
人物类,关公面前耍大刀——不自量力,比喻在行家面前卖弄本领，太不自量力了。,你别在老师面前讲这些，真是关公面前耍大刀不自量力。
人物类,韩信点兵——多多益善,比喻数量越多越好，不嫌多。,学习知识要韩信点兵多多益善。
人物类,刘备借荆州——有借无还,比喻借了东西就不还回来，让人无奈。,他把我的书借走了，到现在也没还，真是刘备借荆州有借无还。
人物类,周瑜打黄盖——一个愿打一个愿挨,比喻双方都愿意，别人管不着。,他们两个一个愿意教一个愿意学，那是周瑜打黄盖一个愿打一个愿挨。
人物类,司马昭之心——路人皆知,比喻野心或意图非常明显，大家都看得出来。,他想当班长的想法是司马昭之心路人皆知。
人物类,孔夫子搬家——尽是书,比喻全是书或全是输。,他的书架上全是书，真是孔夫子搬家尽是书。
人物类,姜太公钓鱼——愿者上钩,比喻心甘情愿地上当或接受某事。,老师布置的选做题是姜太公钓鱼愿者上钩，想做就做。
人物类,王羲之写字——入木三分,比喻书法有力，也比喻见解深刻。,他的分析像王羲之写字入木三分。
