group,word
善良,心地善良
善良,助人为乐
善良,乐善好施
善良,善解人意
善良,先人后己
善良,舍己为人
善良,无私奉献
善良,宽宏大量
善良,宽宏大度
善良,平易近人
善良,温柔敦厚
善良,仁爱
善良,慈祥
善良,体贴
善良,友善
品德,诚实守信
品德,拾金不昧
品德,大公无私
品德,光明磊落
品德,冰清玉洁
品德,一尘不染
品德,两袖清风
品德,表里如一
品德,言行一致
品德,铁面无私
品德,赤胆忠心
品德,忠贞不渝
品德,顶天立地
品德,豁达大度
品德,兢兢业业
品德,信守诺言
品德,言而有信
品德,一言九鼎
品德,一诺千金
品德,坚贞不屈
品德,鞠躬尽瘁
品德,永垂不朽
品德,克己奉公
品德,忠诚
品德,正直
品德,廉洁
品德,淳朴
坚强,勇敢坚强
坚强,不屈不挠
坚强,坚韧不拔
坚强,锲而不舍
坚强,持之以恒
坚强,百折不挠
坚强,自强不息
坚强,顽强不屈
坚强,临危不惧
坚强,宁死不屈
坚强,奋不顾身
坚强,视死如归
坚强,大义凛然
坚强,威武不屈
坚强,顶天立地
坚强,坚韧
坚强,刚强
坚强,顽强
坚强,坚毅
谦虚,谦虛好学
谦虚,不骄不躁
谦虚,虚怀若谷
谦虚,戒骄戒躁
谦虚,不耻下问
谦虚,谨言慎行
谦虚,自知之明
谦虚,大智若愚
谦虚,功成不居
谦虚,洗耳恭听
谦虚,谦虚
谦虚,谦让
谦虚,虚心
勤奋,勤奋刻苦
勤奋,勤劳节俭
勤奋,兢兢业业
勤奋,吃苦耐劳
勤奋,勤勤恳恳
勤奋,埋头苦干
勤奋,任劳任怨
勤奋,励志
勤奋,刻苦
勤奋,勤劳
勤奋,勤勉
正直,见义勇为
正直,大义凛然
正直,刚正不阿
正直,打抱不平
正直,克己奉公
正直,疾恶如仇
正直,仗义执言
正直,忠心耿耿
正直,浩然正气
正直,一身正气
正直,堂堂正正
品质其他,天真烂漫
品质其他,活泼开朗
品质其他,风趣幽默
品质其他,温文尔雅
品质其他,尊老爱幼
品质其他,心直口快
品质其他,沉默寡言
品质其他,不苟言笑
品质其他,内向害羞
品质其他,成熟稳重
品质其他,精明能干
品质其他,积极进取
品质其他,小心谨慎
品质其他,正义正直
品质其他,文静
品质其他,幽默
品质其他,坦诚
