group,word
人物品质,奋不顾身
人物品质,舍己为人
人物品质,坚强不屈
人物品质,赤胆忠心
人物品质,不屈不挠
人物品质,忠贞不渝
人物品质,威武不屈
人物品质,肝胆相照
人物品质,克己奉公
人物品质,一丝不苟
人物品质,两袖清风
人物品质,永垂不朽
人物品质,顶天立地
人物品质,豁达大度
人物品质,兢兢业业
人物品质,拾金不昧
人物品质,视死如归
人物品质,坚贞不屈
人物品质,大义凛然
人物品质,临危不惧
人物品质,光明磊落
人物品质,持之以恒
人物品质,锲而不舍
人物品质,平易近人
人物品质,宽宏大度
人物品质,冰清玉洁
人物品质,鞠躬尽瘁
学习态度,学无止境
学习态度,学而不厌
学习态度,真才实学
学习态度,发奋图强
学习态度,废寝忘食
学习态度,争分夺秒
学习态度,孜孜不倦
学习态度,笨鸟先飞
学习态度,闻鸡起舞
学习态度,自强不息
学习态度,只争朝夕
学习态度,不甘示弱
学习态度,全力以赴
学习态度,力争上游
学习态度,勤学好问
学习态度,专心致志
学习态度,聚精会神
学习态度,全神贯注
学习态度,手不释卷
学习态度,刻苦钻研
学习态度,精益求精
学习态度,一丝不苟
学习态度,循序渐进
学习态度,日积月累
学习态度,温故知新
学习态度,勤能补拙
描写友情,亲密无间
描写友情,推心置腹
描写友情,肝胆相照
描写友情,同甘共苦
描写友情,情同手足
描写友情,志同道合
描写友情,风雨同舟
描写友情,恩重如山
描写友情,深情厚谊
描写友情,手足情深
描写友情,形影不离
描写友情,血浓于水
描写友情,赤诚相待
描写友情,生死相依
描写友情,心心相印
描写友情,拔刀相助
描写友情,促膝谈心
描写高兴,眉开眼笑
描写高兴,捧腹大笑
描写高兴,眉飞色舞
描写高兴,手舞足蹈
描写高兴,兴高采烈
描写高兴,如获至宝
描写高兴,喜笑颜开
描写高兴,喜上眉梢
描写高兴,喜从天降
描写高兴,谈笑风生
描写高兴,笑容可掬
描写高兴,欣喜若狂
描写高兴,喜出望外
描写高兴,乐不可支
描写高兴,喜气洋洋
描写心理活动,忐忑不安
描写心理活动,心惊肉跳
描写心理活动,心神不定
描写心理活动,心猿意马
描写心理活动,心慌意乱
描写心理活动,七上八下
描写心理活动,心急如焚
描写心理活动,心如刀绞
描写心理活动,提心吊胆
描写心理活动,惊慌失措
描写心理活动,心灰意冷
描写心理活动,大失所望
描写心理活动,灰心丧气
描写寓言故事,守株待兔
描写寓言故事,狐假虎威
描写寓言故事,亡羊补牢
描写寓言故事,坐井观天
描写寓言故事,刻舟求剑
描写寓言故事,叶公好龙
描写寓言故事,画蛇添足
描写寓言故事,掩耳盗铃
描写寓言故事,滥竽充数
描写寓言故事,画龙点睛
描写寓言故事,拔苗助长
描写寓言故事,愚公移山
描写寓言故事,精卫填海
描写寓言故事,对牛弹琴
描写历史故事,三顾茅庐
描写历史故事,负荆请罪
描写历史故事,完璧归赵
描写历史故事,卧薪尝胆
描写历史故事,望梅止渴
描写历史故事,纸上谈兵
描写历史故事,铁杵成针
描写历史故事,凿壁偷光
描写历史故事,四面楚歌
描写历史故事,精忠报国
描写历史故事,闻鸡起舞
描写历史故事,悬梁刺股
数字成语,一心一意
数字成语,三心二意
数字成语,四面八方
数字成语,五颜六色
数字成语,六神无主
数字成语,七嘴八舌
数字成语,八仙过海
数字成语,九牛一毛
数字成语,十全十美
数字成语,百发百中
数字成语,千变万化
数字成语,万无一失
数字成语,一马当先
数字成语,三言两语
数字成语,五光十色
数字成语,千军万马
数字成语,成千上万
数字成语,千钧一发
动物成语,胆小如鼠
动物成语,对牛弹琴
动物成语,生龙活虎
动物成语,守株待兔
动物成语,叶公好龙
动物成语,打草惊蛇
动物成语,马到成功
动物成语,顺手牵羊
动物成语,杀鸡儆猴
动物成语,呆若木鸡
动物成语,鹤立鸡群
动物成语,画蛇添足
动物成语,亡羊补牢
动物成语,杯弓蛇影
动物成语,惊弓之鸟
动物成语,虎头蛇尾
动物成语,如鱼得水
动物成语,龙马精神
动物成语,虎背熊腰
动物成语,鸦雀无声
动物成语,鹏程万里
含有比喻,骨瘦如柴
含有比喻,挥金如土
含有比喻,铁证如山
含有比喻,爱财如命
含有比喻,稳如泰山
含有比喻,门庭若市
含有比喻,冷若冰霜
含有比喻,如雷贯耳
含有比喻,守口如瓶
含有比喻,浩如烟海
含有夸张,怒发冲冠
含有夸张,一目十行
含有夸张,一日千里
含有夸张,一字千金
含有夸张,一日三秋
含有夸张,胆大包天
含有夸张,寸步难行
含有夸张,一步登天
含有夸张,千钧一发
ABAC式,载歌载舞
ABAC式,无忧无虑
ABAC式,无影无踪
ABAC式,无边无际
ABAC式,自言自语
ABAC式,自由自在
ABAC式,全心全意
ABAC式,有声有色
ABAC式,无穷无尽
ABAC式,不慌不忙
AABC式,津津有味
AABC式,窃窃私语
AABC式,闪闪发光
AABC式,栩栩如生
AABC式,滔滔不绝
AABC式,欣欣向荣
AABC式,翩翩起舞
AABC式,井井有条
AABC式,彬彬有礼
AABC式,依依不舍
AABC式,洋洋得意
AABC式,栩栩如生
ABCC式,神采奕奕
ABCC式,小心翼翼
ABCC式,硕果累累
ABCC式,生机勃勃
ABCC式,兴致勃勃
ABCC式,白发苍苍
ABCC式,风尘仆仆
ABCC式,大名鼎鼎
ABCC式,得意洋洋
ABCC式,气喘吁吁
含反义词,东张西望
含反义词,南辕北辙
含反义词,前赴后继
含反义词,承前启后
含反义词,舍近求远
含反义词,扬长避短
含反义词,异口同声
含反义词,深入浅出
含反义词,大同小异
含反义词,有始无终
含反义词,凶多吉少
含反义词,头重脚轻
含反义词,出生入死
含反义词,天南地北
含近义词,兴国安邦
含近义词,翻山越岭
含近义词,百依百顺
含近义词,长吁短叹
含近义词,眼疾手快
含近义词,胡言乱语
含近义词,见多识广
含近义词,察言观色
含近义词,高瞻远瞩
含近义词,左顾右盼
含近义词,甜言蜜语
含近义词,调兵遣将
