group,word
外形,枝繁叶茂
外形,郁郁葱葱
外形,苍翠挺拔
外形,亭亭玉立
外形,婀娜多姿
外形,含苞欲放
外形,花团锦簇
外形,古木参天
外形,高耸入云
外形,盘根错节
外形,繁花似锦
外形,硕果累累
外形,绿草如茵
外形,苍翠欲滴
外形,根深叶茂
外形,万木争荣
外形,绿树成荫
外形,绿阴如盖
外形,千姿百态
外形,姿态万千
外形,形态多样
外形,枯枝败叶
外形,挺拔
外形,茂盛
外形,旺盛
外形,繁茂
外形,茁壮
外形,粗壮
外形,细长
外形,柔嫩
外形,鲜嫩
外形,青翠
外形,茂密
外形,稀疏
外形,笔直
外形,弯曲
色彩,五颜六色
色彩,五彩缤纷
色彩,万紫千红
色彩,姹紫嫣红
色彩,花红柳绿
色彩,翠色欲流
色彩,青翠欲滴
色彩,绚丽多彩
色彩,洁白如雪
色彩,一碧千里
色彩,绿意盎然
色彩,桃红柳绿
色彩,五彩斑斓
色彩,青红皂白
色彩,绿水青山
气味,沁人心脾
气味,香气扑鼻
气味,芬芳扑鼻
气味,清香四溢
气味,浓郁芬芳
气味,丹桂飘香
气味,暗香浮动
气味,花香袭人
气味,淡淡清香
气味,幽幽花香
气味,芬芳馥郁
气味,清新淡雅
品质,傲霜斗雪
品质,坚韧不拔
品质,不屈不挠
品质,默默无闻
品质,高风亮节
品质,出淤泥而不染
品质,挺拔刚毅
品质,顽强不屈
植物相关成语,望梅止渴
植物相关成语,瓜田李下
植物相关成语,投桃报李
植物相关成语,花枝招展
植物相关成语,花红柳绿
植物相关成语,火树银花
植物相关成语,锦上添花
植物相关成语,春花秋月
植物相关成语,百花争艳
植物相关成语,百花齐放
类型,花
类型,草
类型,树
类型,叶
类型,根
类型,种子
类型,果实
花相关,花蕾
花相关,花瓣
花相关,花蕊
花相关,花茎
花相关,花苞
花相关,盛开
花相关,绽放
花相关,怒放
花相关,盛开
花相关,凋谢
花相关,凋零
