group,word
喜悦,眉开眼笑
喜悦,笑逐颜开
喜悦,满面春风
喜悦,眉飞色舞
喜悦,喜笑颜开
喜悦,喜上眉梢
喜悦,笑容可掬
喜悦,笑眯眯
喜悦,心花怒放
喜悦,兴高采烈
喜悦,欣喜若狂
喜悦,喜出望外
喜悦,捧腹大笑
喜悦,开怀大笑
喜悦,乐不可支
喜悦,洋洋得意
喜悦,谈笑风生
喜悦,手舞足蹈
喜悦,如获至宝
喜悦,喜从天降
喜悦,相视而笑
喜悦,嫣然一笑
喜悦,微微一笑
喜悦,哈哈大笑
喜悦,喜气洋洋
悲伤,愁眉苦脸
悲伤,泪流满面
悲伤,垂头丧气
悲伤,黯然神伤
悲伤,泣不成声
悲伤,伤心落泪
悲伤,失声痛哭
悲伤,悲痛欲绝
悲伤,欲哭无泪
悲伤,泪如雨下
悲伤,泪眼汪汪
悲伤,泪如泉涌
悲伤,嚎啕大哭
悲伤,潸然泪下
悲伤,愁容满面
生气,怒目而视
生气,火冒三丈
生气,面红耳赤
生气,大发雷霆
生气,怒气冲冲
生气,怒发冲冠
生气,勃然大怒
生气,咬牙切齿
生气,怒不可遏
生气,脸色铁青
生气,横眉冷对
生气,怒火中烧
专注,目不转睛
专注,全神贯注
专注,神情专注
专注,凝神思考
专注,聚精会神
专注,目不斜视
专注,屏气凝神
专注,心无旁骛
专注,专心致志
专注,一心一意
惊讶,目瞪口呆
惊讶,呆若木鸡
惊讶,大吃一惊
惊讶,大惊失色
惊讶,瞠目结舌
惊讶,大惊小怪
惊讶,惊叹不已
惊讶,难以置信
其他,没精打采
其他,悠然自得
其他,和颜悦色
其他,神采奕奕
其他,容光焕发
其他,漫不经心
其他,惊慌失措
其他,从容不迫
其他,处之泰然
其他,毕恭毕敬
其他,心不在焉
其他,嬉皮笑脸
其他,热泪盈眶
其他,扬眉吐气
其他,忍俊不禁
其他,无动于衷
