group,word
单音节,瞥
单音节,瞅
单音节,瞄
单音节,瞪
单音节,盯
单音节,瞟
单音节,瞧
单音节,睹
单音节,望
单音节,窥
单音节,观
单音节,视
单音节,览
双音节,凝视
双音节,注视
双音节,扫视
双音节,环视
双音节,俯视
双音节,窥视
双音节,巡视
双音节,远望
双音节,眺望
双音节,瞭望
双音节,张望
双音节,探望
双音节,仰望
双音节,观察
双音节,瞻仰
双音节,鸟瞰
双音节,视察
双音节,欣赏
双音节,观赏
双音节,浏览
双音节,端详
双音节,打量
双音节,目睹
双音节,审视
双音节,仰视
双音节,俯瞰
常用成语,左顾右盼
常用成语,东张西望
常用成语,目不转睛
常用成语,目不暇接
常用成语,虎视眈眈
常用成语,怒目而视
常用成语,面面相觑
常用成语,高瞻远瞩
常用成语,望而生畏
常用成语,一目了然
常用成语,一览无余
常用成语,坐井观天
常用成语,举世瞩目
常用成语,管中窥豹
常用成语,察言观色
常用成语,极目远眺
常用成语,众目睽睽
常用成语,闭目养神
常用成语,一目十行
常用成语,另眼相看
常用成语,刮目相看
常用成语,引人注目
常用成语,举目无亲
常用成语,望眼欲穿
常用成语,登高望远
常用成语,极目四望
