group,word
语言音质,清脆
语言音质,清甜
语言音质,响亮
语言音质,洪亮
语言音质,嘹亮
语言音质,悦耳
语言音质,圆润
语言音质,沙哑
语言音质,尖厉
语言音质,浑厚
语言音质,甜美
语言音质,柔和
语言音质,细声细气
语言音质,声如洪钟
语言音质,轻柔
语言音质,粗犷
语言音质,低沉
语言音质,高亢
语言音质,稚嫩
语言音质,朗朗
说话状态,滔滔不绝
说话状态,口若悬河
说话状态,妙语连珠
说话状态,娓娓动听
说话状态,对答如流
说话状态,能说会道
说话状态,伶牙俐齿
说话状态,出口成章
说话状态,语重心长
说话状态,喋喋不休
说话状态,唠唠叨叨
说话状态,慢条斯理
说话状态,喃喃低语
说话状态,窃窃私语
说话状态,绘声绘色
说话状态,侃侃而谈
说话状态,谈笑风生
说话状态,豪言壮语
说话状态,高谈阔论
说话状态,夸夸其谈
说话状态,花言巧语
说话状态,甜言蜜语
说话状态,闲言碎语
说话状态,含糊其辞
说话状态,支支吾吾
说话状态,哑口无言
说话状态,无言相对
说话状态,七嘴八舌
说话状态,头头是道
说话状态,信口开河
说话状态,巧舌如簧
说话状态,能言善辩
说话状态,语惊四座
说话状态,娓娓而谈
说话状态,老生常谈
说话状态,议论纷纷
说话状态,各抒己见
说话状态,争论不休
说话状态,异口同声
说话方式,直言不讳
说话方式,拐弯抹角
说话方式,旁敲侧击
说话方式,自圆其说
说话方式,推心置腹
说话方式,大言不惭
说话方式,无所顾忌
说话方式,振振有词
说话方式,肆无忌惮
说话方式,虚情假意
说话方式,真心诚意
说话方式,故弄玄虚
