group,word
基本颜色,红色
基本颜色,黄色
基本颜色,蓝色
基本颜色,绿色
基本颜色,白色
基本颜色,黑色
基本颜色,紫色
基本颜色,粉色
基本颜色,橙色
基本颜色,灰色
基本颜色,金色
基本颜色,银色
基本颜色,棕色
基本颜色,青色
基本颜色,天蓝
基本颜色,翠绿
基本颜色,玫红
基本颜色,米色
叠词,红彤彤
叠词,红艳艳
叠词,红扑扑
叠词,红通通
叠词,红殷殷
叠词,黄澄澄
叠词,金灿灿
叠词,绿油油
叠词,绿莹莹
叠词,白茫茫
叠词,白花花
叠词,白皑皑
叠词,白胖胖
叠词,白晃晃
叠词,白嫩嫩
叠词,黑乎乎
叠词,黑漆漆
叠词,黑压压
叠词,黑麻麻
叠词,黑洞洞
叠词,黑黝黝
叠词,蓝湛湛
叠词,紫莹莹
叠词,灰蒙蒙
叠词,亮晶晶
ABAB式,雪白雪白
ABAB式,碧绿碧绿
ABAB式,金黄金黄
ABAB式,乌黑乌黑
ABAB式,瓦蓝瓦蓝
ABAB式,火红火红
ABAB式,油绿油绿
颜色丰富,五颜六色
颜色丰富,五彩缤纷
颜色丰富,五光十色
颜色丰富,万紫千红
颜色丰富,绚丽多彩
颜色丰富,色彩斑斓
颜色丰富,姹紫嫣红
颜色丰富,花红柳绿
颜色丰富,翠色欲流
颜色丰富,五色斑斓
颜色丰富,绿水青山
