section,order,content
structure,1,称呼：顶格写，加冒号（如"亲爱的妈妈："）
structure,2,问候语：另起一行空两格（如"您好！"）
structure,3,正文：写信的主要内容，分段叙述
structure,4,祝福语：另起一行空两格（如"祝您身体健康！"）
structure,5,署名：靠右写自己的名字
structure,6,日期：署名下方写日期
tip,1,书信格式要规范：称呼顶格、正文空两格、署名靠右
tip,2,注意使用恰当的称呼和敬语
tip,3,写给长辈用"您"，写给同学朋友用"你"
tip,4,正文内容要有条理，可以分几个方面来写
tip,5,语气要亲切自然，像面对面说话一样
tip,6,结尾要有祝福语，根据对象选择合适的祝词
example,1,亲爱的奶奶：\n    您好！好久没有去看您了，我非常想念您。这学期我又学到了很多新知识，语文课上我们读了好多有趣的课文，数学也学会了乘除法。上次考试我考了第三名，妈妈答应暑假带我去看您！\n    祝您身体健康，天天开心！\n                                    您的孙子：小明\n                                    2026年9月15日
