group,sentence,source
学习励志,书山有路勤为径，学海无涯苦作舟。,韩愈
学习励志,学而不思则罔，思而不学则殆。,孔子
学习励志,读书破万卷，下笔如有神。,杜甫
学习励志,知之为知之，不知为不知，是知也。,孔子
学习励志,黑发不知勤学早，白首方悔读书迟。,颜真卿
学习励志,少壮不努力，老大徒伤悲。,汉乐府
学习励志,读书百遍，其义自见。,陈寿
珍惜时间,一寸光阴一寸金，寸金难买寸光阴。,谚语
珍惜时间,少年易老学难成，一寸光阴不可轻。,朱熹
珍惜时间,盛年不重来，一日难再晨。,陶渊明
珍惜时间,明日复明日，明日何其多。,钱福
珍惜时间,时间就像海绵里的水，只要愿挤总还是有的。,鲁迅
品德修养,己所不欲，勿施于人。,孔子
品德修养,老吾老以及人之老，幼吾幼以及人之幼。,孟子
品德修养,人不可有傲气，但不可无傲骨。,徐悲鸿
品德修养,失败乃成功之母。,谚语
品德修养,世上无难事，只怕有心人。,谚语
品德修养,虚心使人进步，骄傲使人落后。,毛泽东
自然哲理,不经历风雨，怎能见彩虹。,谚语
自然哲理,千里之行，始于足下。,老子
自然哲理,宝剑锋从磨砺出，梅花香自苦寒来。,谚语
自然哲理,春蚕到死丝方尽，蜡炬成灰泪始干。,李商隐
自然哲理,欲穷千里目，更上一层楼。,王之涣
友情亲情,海内存知己，天涯若比邻。,王勃
友情亲情,桃花潭水深千尺，不及汪伦送我情。,李白
友情亲情,慈母手中线，游子身上衣。,孟郊
友情亲情,谁言寸草心，报得三春晖。,孟郊
