group,sentence,source
父亲,父亲是我依靠的大树，在我遇到困难时，是他给了我从跌倒中爬起的勇气。,
父亲,我的爸爸是一个普通的工人，但在我心中他是最伟大的人。,
父亲,爸爸的那番话像一盏明灯，照亮了我前行的道路。,
父亲,爸爸的爱像大山，沉稳而厚重，不善言辞却无处不在。,
父亲,父亲的爱像一缕阳光，即使在寒冷的冬天也能让你感到温暖如春。,
父亲,爸爸，您的爱是春天里的一缕阳光，和煦地照耀在我的身上；您的爱是夏日里的一丝凉风，吹散了我心中的烦热。,
父亲,我看见他戴着黑布小帽，穿着黑布大马褂，深青布棉袍，蹒跚地走到铁道边，慢慢探身下去……他用两手攀着上面，两脚再向上缩；他肥胖的身子向左微倾，显出努力的样子。,朱自清《背影》
父亲,爸爸坐在书桌前，一页一页地翻看练习册，眼神专注而犀利，仿佛一台精密的扫描仪，逐一检阅着每个字符、每道算式。,
父亲,看着爸爸因为将伞倾向我而被大雨淋湿的裤脚，我的眼睛湿润了，我的生活因父亲的照料而美好。,
父亲,凌晨四点，我听见一阵窸窸窣窣的声音，睁开眼，只见父亲蹑手蹑脚地走出屋子，我知道勤劳能干的父亲又要开始一天的劳作了。,
父亲,在我的所有读者中，对我的文章和书最在乎的人，是父亲。从很多年前我刚发表作品开始，只要知道哪家报纸和杂志刊登有我的文字，他总是不嫌其烦地跑到书店或者邮局里去寻找。,赵丽宏《挥手——怀念我的父亲》
父亲,"爸爸在家里的权力最大，像一个""虎大王""。不过，他虽然有时倔得像头牛，孝敬起爷爷来却像""哈巴狗""，一切言听计从。",
父亲,爸爸在外边对谁都客气，可是一回到家，就像一只威严的大老虎。记得有一次我不小心犯了错，他眉毛一竖，眼睛一瞪，吓得我大气都不敢出。,
父亲,"爸爸是个""超级球迷""，每当电视里要播放足球赛，他都会分秒不差地坐在电视机前。你看他，一会儿挥舞拳头，大喊：""好球！漂亮！""一会儿拍着大腿连声叫道：""哎呀！臭球！""",
父亲,"父亲用整个身体为我撑起了一片蔚蓝的天空。他被大雨淋成了""落汤鸡""，可还不时地看着我，一心想着我不要被雨淋湿。",
父亲,"爸爸的头发很稀疏，头顶处光秃秃的，头皮在阳光下闪闪发光，像个灯泡似的，但他从不为此烦恼，总是笑着自嘲：""多好啊，洗头可轻松了！""",
父亲,我印象中的爸爸总是不苟言笑，他的话不多，却字字有力。父亲是我心中的一座山。,
母亲,妈妈的爱像春雨，无声地滋润着我的心田。有妈妈在的地方，就是全世界最温暖的港湾。,
母亲,"母爱是饭桌上那一盆盆美味的饭菜，母爱是在那一叠洗得干干净净的衣服中，母爱在临上学前那一声""小心""的叮嘱中。",
母亲,母爱像一缕阳光，即使在寒冷的冬天也能让你感到温暖如春；母爱像一泓清泉，即使心灵岁月的尘埃也能让你清澈澄净。,
母亲,妈妈，您有一双白嫩、灵巧的手。家里大大小小的毛衣都是您织的。穿上您织的毛衣，整个冬天都是暖的。,
母亲,妈妈煮的汤面是全世界最好吃的面——那里面藏着爱的味道。,
母亲,妈妈迅速将宽大的白色护士服套在自己瘦弱的身上，像一阵风从我身边掠过，来不及和我打招呼便直奔病房。,
母亲,"妈妈戴着一副眼镜，在外人面前是满满的温柔贤惠，可在家人面前，却经常""发疯""。不过我知道，那都是因为她太爱这个家了。",
母亲,妈妈小心翼翼地把围巾系在我的脖子上，此时一股暖流在我的心中流淌，妈妈的爱让我的生活更温暖。,
母亲,妈妈，让我为您梳一次头吧。当我的手指穿过您的发丝时，我才发现，您的白发比上次又多了许多。,
母亲,妈妈年轻时也是一位亭亭玉立的少女，有一头乌黑的长发——直到她成为了我的妈妈。,
母亲,"有一次，妈妈看到我熟睡的样子，轻声对爸爸说：""你看他睡着了还在笑呢。""那一瞬间，我觉得自己是全世界最幸福的孩子。",
母亲,我印象中的妈妈总是很温柔，每当她轻柔的嗓音拂过耳畔，我就仿佛沐浴在柔和的暖风中。,
母亲,"妈妈是""火龙果""，表面上严厉无比，其实是刀子嘴豆腐心。有一次我没考好，她训了我半天，转身却偷偷帮我整理错题本。",
母亲,"妈妈爱美，特别爱打扮。洗漱完毕，妈妈就坐到梳妆台前，打开化妆盒一阵涂涂抹抹后，变成了我和爸爸心目中的""女神""。",
母亲,有一次我发烧到39℃，妈妈坐在病床边，用那双温暖的大手握着我的小手，豆大的汗珠和滚烫的泪水一同滴在了我的脸上。,
母亲,姥姥听说菊花枕可以治疗失眠，赶忙从她的枕头底下掏出几张已经皱巴巴的百元大钞，蹬上三轮车去城里给我买菊花。,
母亲,每天妈妈都穿着那件洗得发白的围裙，在厨房里忙碌。锅碗瓢盆的交响乐，是我童年最熟悉的旋律。,
母亲,妈妈，您总是把最好的留给我——鱼肉给我，鱼头留给自己；鸡肉给我，鸡爪留给自己。我吃着吃着，眼泪就掉下来了。,
母亲,妈妈的爱是世界上最无私的爱。有一次，她看见我嘴角长了燎泡，二话不说跑遍了整条街，只为买一支我小时候用惯的药膏。,
亲情综合,父母的爱像两束不同的光，一束强烈，一束温和，但都让我在爱的照耀下茁壮成长。,
