group,sentence,source
开门见山,在我的记忆中，有一件事让我终生难忘。,
开门见山,我有一个好朋友，他的名字叫小明。,
开门见山,我最喜欢的地方，就是外婆家门前的那条小溪。,
开门见山,今天，我想给大家讲一个发生在我身边的真实故事。,
开门见山,我的爸爸是一个普通的工人，但在我心中他是最伟大的人。,
开门见山,王加丽是个勤奋好学，乐于助人，热爱集体的学生，老师和同学都喜欢她。,
开门见山,今天上午，我约了几个好朋友到我家后面的空地上玩老鹰捉小鸡的游戏。,
开门见山,"让我最难忘、最开心的游戏，是那次的""两人三足跑""。",
开门见山,暑假里的一天中午，我在郊外的一片草丛中看到了一只威武的螳螂，它一下子引起了我的兴趣。,
开门见山,前年暑假，我和妈妈游览了长城。,
开门见山,每个人都有自己的心愿，而我的心愿就是奶奶的病能尽快治好。,
开门见山,二十年后，我回到了想念已久的家乡，眼前的一切令我目瞪口呆。,
开门见山,"如果有人问我：""你最喜欢谁？""我会毫不犹豫地回答：""我的妈妈。""",
开门见山,说起我最敬佩的人，那当然是我的语文老师了。,
开门见山,枣树是我童年的伙伴。听妈妈说，在我出生时，爷爷从枣乡乐陵带回来一棵枣树苗，栽在我家院内。,
开门见山,我的家乡岳池是个风景优美的县城，我喜欢家乡的夜景。,
开门见山,"一阵香气从我的鼻尖缓缓飘过。我顺着香气飘过来的地方走了过去，一看，原来是我家的""绿色净化器""呀！",
开门见山,世界上有一种爱，它无处不在，让你肆意索取，却不要任何回报——这就是母爱。,
开门见山,每个人都有自己的乐园，我也不例外。我的乐园就是我的房间。,
开门见山,我看见过波澜壮阔的大海，欣赏过水平如镜的西湖，却从没看见过漓江这样的水。,
开门见山,我的爸爸中等个子，戴着一副黑框眼镜，笑起来像一尊弥勒佛。,
开门见山,世界上有千般爱，只有母爱最伟大；世界上有万般情，只有亲情最永恒。,
开门见山,"我家是个小小的""动物园""，里边住着几只性格各异的""动物""。",
开门见山,当春风拂过脸颊，当新绿爬上枝头，我知道，春天来了。,
开门见山,老师是红烛，燃烧自己照亮别人；老师是春雨，把点点滴滴的知识洒在我们心里。,
开门见山,那本书安安静静地躺在书架上，仿佛在等待着我去翻开它的第一页。,
设置悬念,"""砰！""一声巨响从教室里传出来，到底发生了什么事呢？",
设置悬念,那是一个我永远不会忘记的下午，一切都从那个神秘的包裹开始……,
设置悬念,如果时光可以倒流，我多么希望回到那一天。,
设置悬念,"""不好了！不好了！""小明气喘吁吁地跑进教室，大家都好奇地围了过去。",
设置悬念,你见过会飞的猫吗？别不信，我就亲眼见过一次！,
设置悬念,今天，张老师走进教室，一句话也不说，径直走向讲台，拿起粉笔，在黑板上画了一个大大的头像，我们不禁纳闷：张老师这是要做什么？,
设置悬念,你们见过长翅膀的拖鞋吗？这件怪事就发生在我们班里。,
设置悬念,"奇怪！""母子上车处""怎么站了四个身强力壮的大男人，而一位抱着孩子的母亲却被挤在栏外？难道那些男人不识字？",
设置悬念,伴着悦耳的上课铃声，张老师如同以往一样走进教室。可不同的是，手中的课本换成了两个盛着水的杯子和两盒回形针。咦？老师葫芦里到底卖的什么药？,
设置悬念,每当我看到清洁工叔叔阿姨辛苦地收拾地面上的垃圾时，我就会想到那天发生的一件事。,
设置悬念,"你知道我家谁是""老虎""吗？你知道这只""老虎""是怎样维护自己的尊严的吗？现在，就让我带你去我家看一看吧！",
设置悬念,在一个寒冷的冬夜，我们家的门被敲响了，门外站着的会是谁呢？,
设置悬念,"我走出房间，对天空发出一声长叹：""唉！这辞不掉的'官'……""",
设置悬念,我能在一分钟之内说出十种恐龙的名字，你信吗？不信？那就听我慢慢道来。,
设置悬念,那个雨夜，一把伞悄悄地改变了我的整个人生。,
设置悬念,"""呜——呜——""一阵哭声打破了午后的宁静，是谁在哭？发生了什么事？",
设置悬念,他为什么总是坐在角落发呆？为什么一放学就匆匆离去？这个谜一直藏在我心里。,
设置悬念,我一直以为，世界上最勇敢的人是超人，直到那个周末，我改变了想法。,
设置悬念,老师说要带我们去一个神秘的地方春游，同学们七嘴八舌地猜了起来……,
设置悬念,妈妈最近变得好奇怪：每天神秘兮兮地接电话，还总对着手机笑。她到底在忙什么呢？,
设置悬念,如果要问我最怕什么，那一定不是考试，也不是鬼故事，而是……,
设置悬念,那天放学，我发现书包里多了一个没有署名的信封。我该打开它吗？,
设置悬念,你能相信吗？一个七岁的小男孩，独自走完了十公里的山路。那个人，就是我。,
设置悬念,"我家最近来了一个""不速之客""，它悄悄地住进了阳台的花盆里。",
引用名言,"""失败乃成功之母。""每当我遇到困难的时候，总会想起这句话。",
引用名言,"俗话说：""一寸光阴一寸金，寸金难买寸光阴。""时间的宝贵，我是深有体会的。",
引用名言,"""书山有路勤为径，学海无涯苦作舟。""这句名言一直激励着我努力学习。",
引用名言,"""世上无难事，只怕有心人。""这句话说得一点儿也没错。",
引用名言,"人们都说：""五岳归来不看山，黄山归来不看岳。""金秋十月，我来到了梦寐以求的黄山。",
引用名言,"""遥望洞庭山水翠，白银盘里一青螺。""今年暑假，我和爸爸妈妈来到了向往已久的岳阳楼。",
引用名言,"记得程颐好像说过：""外物之味，久则可厌；读书之味，愈久愈深。""书读得越多，也就越能体会到其精妙之处。",
引用名言,"""桂林山水甲天下，阳朔山水甲桂林。""你可能已经猜出了，我游览的地方就是阳朔。",
引用名言,"""独在异乡为异客，每逢佳节倍思亲。""二十年后的今天，我终于踏上了家乡的土地！",
引用名言,"俗话说：""民以食为天。""每个地方都有自己独特的地方特产。我的家乡也有许多美味的食品。",
引用名言,"孔子说：""学而不思则罔，思而不学则殆。""这句话让我明白了学习和思考要结合起来。",
引用名言,"高尔基说过：""书籍是人类进步的阶梯。""从那天起，我爱上了读书。",
引用名言,"""谁言寸草心，报得三春晖。""亲爱的妈妈，今天我想向您倾诉我的心里话。",
引用名言,"""小荷才露尖尖角，早有蜻蜓立上头。""看到这两句诗，你知道我的乐园了吧——它就是荷塘。",
