group,word
手部动作,挥舞
手部动作,抓紧
手部动作,握住
手部动作,抚摸
手部动作,拍打
手部动作,捏紧
手部动作,撕开
手部动作,翻阅
手部动作,搅拌
手部动作,编织
手部动作,擦拭
手部动作,攥紧
手部动作,抚弄
手部动作,揉搓
手部动作,推搡
手部动作,挥手
手部动作,拨弄
手部动作,拾起
手部动作,抛掷
手部动作,折叠
手部动作,展开
手部动作,敲打
手部动作,拉扯
手部动作,托举
手部动作,捧起
手部动作,扔出
手部动作,接住
手部动作,抖动
手部动作,按压
手部动作,掰开
手部动作,拧紧
手部动作,搓洗
手部动作,拼装
手部动作,拆卸
手部动作,涂抹
手部动作,包扎
手部动作,系上
手部动作,解开
手部动作,收拾
手部动作,搬运
手部动作,递送
手部动作,扶起
手部动作,搀扶
手部动作,笔画
手部动作,戳点
手部动作,抓挠
手部动作,松开
手部动作,划动
脚部动作,奔跑
脚部动作,跳跃
脚部动作,踮脚
脚部动作,踏步
脚部动作,蹦蹦跳跳
脚部动作,大步流星
脚部动作,健步如飞
脚部动作,蹑手蹑脚
脚部动作,跌跌撞撞
脚部动作,连蹦带跳
脚部动作,脚步轻盈
脚部动作,一蹦一跳
脚部动作,踱步
脚部动作,溜达
脚部动作,步履蹒跚
脚部动作,飞奔
脚部动作,跨越
脚部动作,蹬腿
脚部动作,踢踏
脚部动作,迈步
脚部动作,跨步
脚部动作,漫步
脚部动作,散步
脚部动作,急行
脚部动作,行走
脚部动作,攀爬
脚部动作,踢开
脚部动作,飞驰
脚部动作,狂奔
脚部动作,追逐
脚部动作,追赶
脚部动作,踩踏
脚部动作,跳舞
脚部动作,踮起
脚部动作,跳跃
脚部动作,飞奔如箭
脚部动作,拔腿就跑
脚部动作,一瘸一拐
全身动作,手舞足蹈
全身动作,连滚带爬
全身动作,摇摇晃晃
全身动作,翻来覆去
全身动作,东张西望
全身动作,抓耳挠腮
全身动作,昂首挺胸
全身动作,弯腰驼背
全身动作,缩成一团
全身动作,前俯后仰
全身动作,仰面朝天
全身动作,上蹿下跳
全身动作,挤眉弄眼
全身动作,坐立不安
全身动作,辗转反侧
全身动作,左顾右盼
全身动作,大摇大摆
全身动作,摇头晃脑
全身动作,东倒西歪
全身动作,前仰后合
全身动作,指手画脚
全身动作,摩拳擦掌
全身动作,拳打脚踢
全身动作,交头接耳
全身动作,洗耳恭听
全身动作,扶老携幼
全身动作,奔走相告
全身动作,跋山涉水
全身动作,欢呼雀跃
全身动作,走马观花
学习动作,聚精会神
学习动作,专心致志
学习动作,全神贯注
学习动作,目不转睛
学习动作,孜孜不倦
学习动作,废寝忘食
学习动作,刻苦钻研
学习动作,勤学苦练
学习动作,奋笔疾书
学习动作,冥思苦想
学习动作,津津有味
学习动作,如饥似渴
学习动作,手不释卷
学习动作,一丝不苟
学习动作,精益求精
学习动作,书声琅琅
学习动作,掩卷沉思
学习动作,学而不厌
学习动作,持之以恒
学习动作,好学不倦
学习动作,苦思冥想
学习动作,绞尽脑汁
学习动作,深思熟虑
学习动作,举一反三
学习动作,融会贯通
学习动作,学以致用
学习动作,争分夺秒
学习动作,夜以继日
学习动作,埋头苦干
学习动作,十年寒窗
学习动作,闻鸡起舞
学习动作,笨鸟先飞
学习动作,通宵达旦
学习动作,只争朝夕
学习动作,一心一意
