group,word
外形,毛茸茸
外形,胖乎乎
外形,圆滚滚
外形,软绵绵
外形,水灵灵
外形,憨态可掬
外形,小巧玲珑
外形,虎头虎脑
外形,威风凛凛
外形,色彩斑斓
外形,黑白相间
外形,膘肥体壮
外形,呆头呆脑
外形,肥头大耳
外形,高大威猛
外形,活泼可爱
外形,乌黑油亮
外形,洁白如雪
外形,瘦骨嶙峋
外形,小巧
外形,美丽
外形,漂亮
外形,可爱
外形,壮实
外形,粗壮
外形,有力
外形,矫健
习性,贪吃好睡
习性,摇头摆尾
习性,活蹦乱跳
习性,上蹿下跳
习性,机灵活泼
习性,聪明伶俐
习性,昼伏夜出
习性,成群结队
习性,独来独往
习性,狼吞虎咽
习性,悠然自得
习性,提心吊胆
习性,小心翼翼
习性,自由自在
习性,无忧无虑
习性,辛勤忙碌
习性,团结协作
习性,忠于职守
习性,灵敏
习性,敏捷
习性,机灵
习性,温顺
习性,凶猛
习性,灵敏
动作,追逐嬉戏
动作,连蹦带跳
动作,张牙舞爪
动作,昂首阔步
动作,匍匐前行
动作,撒腿就跑
动作,振翅欲飞
动作,引颈长鸣
动作,飞檐走壁
动作,腾空跃起
动作,四处张望
动作,展翅高飞
动作,忽飞忽落
动作,上下翻飞
动作,游来游去
动作,蹿来蹿去
动物相关成语,万象更新
动物相关成语,抱头鼠窜
动物相关成语,鸡鸣狗盗
动物相关成语,千军万马
动物相关成语,亡羊补牢
动物相关成语,鹤立鸡群
动物相关成语,对牛弹琴
动物相关成语,如鱼得水
动物相关成语,鸟语花香
动物相关成语,画龙点睛
动物相关成语,虎背熊腰
动物相关成语,守株待兔
动物相关成语,鹤发童颜
动物相关成语,狗急跳墙
动物相关成语,鼠目寸光
动物相关成语,盲人摸象
动物相关成语,画蛇添足
动物相关成语,龙马精神
动物相关成语,龙飞凤舞
动物相关成语,龙腾虎跃
动物相关成语,心猿意马
动物相关成语,狼吞虎咽
动物相关成语,鸦雀无声
动物相关成语,莺歌燕舞
动物相关成语,惊弓之鸟
动物相关成语,虎头蛇尾
动物相关成语,井底之蛙
动物相关成语,马到成功
动物相关成语,单枪匹马
动物相关成语,闻鸡起舞
动物相关成语,杀鸡取卵
动物相关成语,九牛一毛
动物相关成语,叶公好龙
动物相关成语,狼狈为奸
动物相关成语,打草惊蛇
叫声,汪汪
叫声,喵喵
叫声,叽叽
叫声,咩咩
叫声,哞哞
叫声,呱呱
叫声,喳喳
叫声,喔喔
叫声,咕咕
叫声,嗷嗷
叫声,嘶鸣
叫声,吼叫
叫声,低吼
叫声,长啸
