group,word
脸型,苹果脸
脸型,鹅蛋脸
脸型,瓜子脸
脸型,国字脸
脸型,娃娃脸
脸型,圆脸
脸型,方脸
脸型,面如满月
脸型,天庭饱满
脸型,杏脸桃腮
脸型,胖乎乎
脸型,瘦削
脸型,清瘦
脸型,满面红光
脸型,红扑扑
脸型,粉嘟嘟
脸型,黑黝黝
脸型,白里透红
脸型,轮廓分明
脸型,面容刚毅
脸型,饱经风霜
眉毛,柳叶眉
眉毛,浓黑修长
眉毛,八字眉
眉毛,弯弯的
眉毛,浓眉
眉毛,剑眉
眉毛,秀眉
眉毛,慈眉
眉毛,浓密
眉毛,紧锁
眉毛,弯月眉
眉毛,眉弓如月
眉毛,两眉如峰
眉毛,青眉如黛
眉毛,眉飞色舞
眉毛,眉开眼笑
眉毛,扬眉吐气
眉毛,浓眉如剑
眉毛,横眉冷对
眉毛,愁眉紧锁
眉毛,粗黑
眉毛,淡眉
眼睛,浓眉大眼
眼睛,水灵灵
眼睛,亮晶晶
眼睛,水汪汪
眼睛,圆溜溜
眼睛,黑珍珠似的
眼睛,炯炯有神
眼睛,丹凤眼
眼睛,杏核眼
眼睛,单眼皮
眼睛,双眼皮
眼睛,目光如炬
眼睛,双目传神
眼睛,目光逼人
眼睛,目光慈祥
眼睛,目光炯炯
眼睛,目光闪烁
眼睛,目光四射
眼睛,目光如剑
眼睛,目光敏锐
眼睛,目光深邃
眼睛,目不转睛
眼睛,目不暇接
眼睛,冷目灼灼
眼睛,怒目而视
眼睛,含情脉脉
眼睛,神采焕发
眼睛,乌黑有神
眼睛,乌黑明亮
眼睛,清澈明亮
眼睛,深沉睿智
眼睛,忽闪忽闪
眼睛,暗淡无光
眼睛,乌黑闪亮
眼睛,慈眉善目
眼睛,虎目剑眉
眼睛,剑眉星目
眼睛,明眉锐眼
眼睛,双目似剑
眼睛,双目犀利
眼睛,火眼金睛
鼻子,高鼻梁
鼻子,塌鼻梁
鼻子,小巧
鼻子,挺拔
鼻子,鹰钩鼻
鼻子,秀美
鼻子,挺直
鼻子,光滑
鼻子,红润
鼻子,鼻梁挺直
鼻子,鼻孔饱满
鼻子,细巧挺秀
嘴巴,樱桃小嘴
嘴巴,薄嘴唇
嘴巴,厚嘴唇
嘴巴,大嘴巴
嘴巴,能说会道
嘴巴,巧嘴
嘴巴,朱唇
嘴巴,乖巧
嘴巴,红润
嘴巴,苍白
嘴巴,干裂
嘴巴,紧闭
嘴巴,唇似樱红
嘴巴,唇若丹霞
嘴巴,玉齿珠唇
嘴巴,唇枪舌剑
嘴巴,唇方口正
嘴巴,铁嘴钢牙
嘴巴,张口结舌
嘴巴,口干舌燥
嘴巴,口若悬河
嘴巴,唇红齿白
耳朵,招风耳
耳朵,顺风耳
耳朵,大耳朵
耳朵,耳聪目明
耳朵,面红耳赤
耳朵,耳闻目睹
耳朵,耳目一新
头发,乌黑油亮
头发,马尾辫
头发,披肩发
头发,羊角辫
头发,学生头
头发,齐耳短发
头发,自然卷
头发,秀发
头发,华发
头发,鹤发
头发,金发
头发,刘海
头发,乌丝
头发,青丝
头发,银丝
头发,斑白
头发,亮泽
头发,乌亮
头发,乌黑
头发,粗硬
头发,卷曲
头发,细柔
头发,凌乱
头发,蓬松
头发,整齐
头发,毛茸茸
头发,乱蓬蓬
头发,滑溜溜
头发,光溜溜
头发,光秃秃
头发,黑油油
头发,软绵绵
头发,齐刷刷
头发,胡子拉碴
头发,两鬓斑白
头发,白发苍苍
头发,白发如雪
头发,乌黑浓密
头发,黑发披肩
头发,满头秀发
头发,披头散发
头发,鹤发童颜
头发,秀发柔美
身材,苗条
身材,高大魁梧
身材,亭亭玉立
身材,小巧玲珑
身材,虎背熊腰
身材,胖乎乎
身材,瘦小
身材,结实
身材,匀称
身材,魁梧
身材,单薄
身材,丰满
身材,修长
身材,矮小
身材,细高
身材,敦实
身材,壮实
身材,清瘦
身材,富态
身材,大腹便便
身材,骨瘦如柴
身材,弱不禁风
身材,婀娜多姿
身材,西装革履
身材,老态龙钟
身材,身材魁梧
综合,虎头虎脑
综合,眉清目秀
综合,唇红齿白
综合,眉目如画
综合,一表人才
综合,相貌堂堂
综合,气宇轩昂
综合,英姿飒爽
综合,鹤发童颜
综合,文质彬彬
综合,白净柔嫩
综合,齿白唇红
综合,和蔼可亲
综合,威风凛凛
综合,憨态可掬
综合,其貌不扬
综合,蓬头垢面
综合,面黄肌瘦
综合,如花似玉
综合,容光焕发
综合,落落大方
综合,心慈面善
综合,雍容华贵
综合,风度翩翩
综合,倾国倾城
综合,明眸皓齿
综合,花枝招展
