group,word
春,春暖花开
春,鸟语花香
春,春回大地
春,万物复苏
春,百花齐放
春,春风拂面
春,春光明媚
春,阳春三月
春,桃红柳绿
春,草长莺飞
春,万紫千红
春,生机勃勃
春,春雨绵绵
春,含苞待放
春,春意盎然
春,春色满园
春,春风化雨
春,春华秋实
春,和风细雨
春,春雨如油
春,春寒料峭
春,满园春色
春,春风轻拂
夏,烈日当空
夏,骄阳似火
夏,暑气逼人
夏,大汗淋漓
夏,绿树成荫
夏,烈日炎炎
夏,蝉声阵阵
夏,荷花映日
夏,枝繁叶茂
夏,郁郁葱葱
夏,挥汗如雨
夏,热不可耐
夏,暑气蒸人
夏,汗流浃背
夏,乌云翻滚
秋,秋高气爽
秋,天高云淡
秋,五谷丰登
秋,金风送爽
秋,硕果累累
秋,红叶似火
秋,大雁南飞
秋,秋风萧瑟
秋,金秋时节
秋,秋色宜人
秋,秋风送爽
秋,天朗气清
秋,万花凋谢
秋,燕过留声
秋,中秋月圆
冬,冰天雪地
冬,寒冬腊月
冬,天寒地冻
冬,雪花飞舞
冬,千里冰封
冬,滴水成冰
冬,银装素裹
冬,寒风呼啸
冬,白雪皑皑
冬,粉妆玉砌
冬,三九严寒
冬,大雪纷飞
冬,数九寒冬
冬,寒气袭人
冬,冰雪消融
冬,风雪交加
天气-晴朗,风和日丽
天气-晴朗,晴空万里
天气-晴朗,万里无云
天气-晴朗,碧空如洗
天气-晴朗,艳阳高照
天气-晴朗,天高云淡
天气-晴朗,秋高气爽
天气-风雨,狂风暴雨
天气-风雨,倾盆大雨
天气-风雨,和风细雨
天气-风雨,细雨如丝
天气-风雨,风雨交加
天气-风雨,暴风骤雨
天气-风雨,滂沱大雨
天气-风雨,淅淅沥沥
天气-风雨,瓢泼大雨
天气-风雨,细雨如烟
天气-风雨,绵绵细雨
天气-风雨,秋雨绵绵
天气-风雨,暴雨如注
天气-风雨,大雨淋漓
天气-风雨,凄风苦雨
天气-风,和风拂面
天气-风,风狂雨猛
天气-风,秋风凉爽
天气-风,北风呼啸
天气-风,轻风徐徐
天气-风,春风拂面
天气-雪,纷纷扬扬
天气-雪,银装素裹
天气-雪,白雪皑皑
天气-雪,冰雪消融
天气-雪,大雪封门
天气-雪,雪中送炭
天气-雪,风雪交加
天气-晨,雄鸡报晓
天气-晨,红日东升
天气-晨,朝霞辉映
天气-晨,金光万道
天气-午,中午时分
天气-午,丽日当空
天气-午,艳阳高照
天气-午,当午日明
天气-暮,暮色苍茫
天气-暮,夕阳西下
天气-暮,华灯初上
天气-暮,晚风习习
天气-夜,月明星稀
天气-夜,灯火通明
天气-夜,漫漫长夜
天气-夜,万家灯火
天气-夜,夜幕降临
天气-夜,月光似水
天气-夜,皓月当空
天气-夜,明月如镜
