group,word
喜悦,心花怒放
喜悦,欣喜若狂
喜悦,兴高采烈
喜悦,欢天喜地
喜悦,心旷神怡
喜悦,喜出望外
喜悦,满心欢喜
喜悦,归心似箭
喜悦,沾沾自喜
喜悦,心潮起伏
喜悦,其乐无穷
喜悦,自得其乐
喜悦,乐不可支
喜悦,喜上眉梢
喜悦,喜笑颜开
喜悦,喜气洋洋
喜悦,令人欢欣
喜悦,愉悦
喜悦,快乐
喜悦,兴奋
喜悦,欢喜
喜悦,开心
喜悦,甜蜜
喜悦,欢畅
悲伤,痛不欲生
悲伤,心如刀绞
悲伤,悲痛欲绝
悲伤,伤心落泪
悲伤,悲喜交集
悲伤,忧心忡忡
悲伤,心事重重
悲伤,闷闷不乐
悲伤,黯然神伤
悲伤,欲哭无泪
悲伤,失声痛哭
悲伤,泣不成声
悲伤,潸然泪下
悲伤,哀伤
悲伤,难过
悲伤,心碎
悲伤,沉痛
悲伤,辛酸
悲伤,凄惨
愤怒,怒火中烧
愤怒,怒不可遏
愤怒,咬牙切齿
愤怒,怒气冲冲
愤怒,火冒三丈
愤怒,恼羞成怒
愤怒,勃然大怒
愤怒,怒发冲冠
愤怒,气愤
愤怒,生气
愤怒,恼火
愤怒,怨恨
愤怒,憎恶
愤怒,深恶痛绝
愤怒,疾恶如仇
愤怒,恨之入骨
害怕,心惊胆战
害怕,忐忑不安
害怕,心慌意乱
害怕,提心吊胆
害怕,心惊肉跳
害怕,心有余悸
害怕,惊弓之鸟
害怕,惶惶不安
害怕,惊恐万状
害怕,惊慌失措
害怕,心神不定
害怕,心猿意马
害怕,害怕
害怕,恐惧
害怕,紧张
害怕,心慌
害怕,胆怯
害怕,畏惧
害怕,惧怕
着急,心急如焚
着急,迫不及待
着急,焦急万分
着急,急不可待
着急,迫在眉睫
着急,急急忙忙
着急,操之过急
着急,紧急
着急,着急
着急,焦虑
着急,急切
着急,匆忙
着急,十万火急
着急,火烧眉毛
着急,燃眉之急
着急,刻不容缓
激动,百感交集
激动,激动不已
激动,激动万分
激动,感慨万分
激动,热血沸腾
激动,心潮澎湃
激动,感人肺腑
激动,激荡
激动,振奋
激动,澎湃
愧疚,追悔莫及
愧疚,羞愧难言
愧疚,悔恨交加
愧疚,于心不安
愧疚,深感内疚
愧疚,惭愧
愧疚,内疚
愧疚,自责
愧疚,愧疚
愧疚,羞愧
愧疚,悔恨
失望,心灰意冷
失望,大失所望
失望,灰心丧气
失望,黯然神伤
失望,毫无希望
失望,失望
失望,沮丧
失望,失落
失望,泄气
失望,绝望
舒畅,无忧无虑
舒畅,悠然自得
舒畅,心旷神怡
舒畅,舒舒服服
舒畅,高枕无忧
舒畅,舒畅
舒畅,轻松
舒畅,惬意
舒畅,自在
舒畅,安宁
矛盾,心乱如麻
矛盾,心猿意马
矛盾,七上八下
矛盾,心神不安
矛盾,犹豫不决
矛盾,左右为难
矛盾,举棋不定
矛盾,踌躇不定
矛盾,矛盾
矛盾,纠结
矛盾,困扰
