group,word
山,崇山峻岭
山,层峦叠嶂
山,高耸入云
山,连绵起伏
山,悬崖峭壁
山,奇峰罗列
山,拔地而起
山,峰峦雄伟
山,巍然屹立
山,怪石嶙峋
山,山清水秀
山,山明水秀
山,千山一碧
山,群山环绕
山,山水如画
山,寸草不生
山,高山峻岭
山,危峰兀立
山,高低起伏
山,锦绣河山
山,漫山遍野
山,江山如画
山,山河壮丽
山,千山万水
山,山穷水尽
山,重峦叠嶂
水,碧波荡漾
水,水平如镜
水,波澜壮阔
水,波光粼粼
水,清澈见底
水,水天一色
水,汹涌澎湃
水,风平浪静
水,涓涓细流
水,潺潺流水
水,烟波浩渺
水,惊涛骇浪
水,浪花飞溅
水,浩浩荡荡
水,白练腾空
水,微波粼粼
水,波涛汹涌
水,白浪滔天
水,明丽如镜
水,水流湍急
水,江水汹涌
水,江流浪涌
水,水落石出
水,水滴石穿
水,水乳交融
水,滴水不漏
山水综合,湖光山色
山水综合,锦绣河山
山水综合,高山流水
山水综合,大好河山
山水综合,依山傍水
山水综合,山环水绕
山水综合,水秀山明
山水综合,江山如画
山水综合,别有洞天
瀑布,飞流直下
瀑布,一泻千里
瀑布,万丈瀑布
瀑布,水帘悬挂
自然景物,旭日东升
自然景物,绵绵细雨
自然景物,桃红柳绿
自然景物,艳阳高照
