group,word
单音节-说,讲
单音节-说,曰
单音节-说,叫
单音节-说,喊
单音节-说,嚷
单音节-说,谈
单音节-说,问
单音节-说,议
单音节-说,诉
单音节-说,骂
单音节-说,云
单音节-说,答
单音节-说,劝
单音节-说,夸
双音节-说,讨论
双音节-说,议论
双音节-说,谈论
双音节-说,交流
双音节-说,交谈
双音节-说,诉说
双音节-说,倾诉
双音节-说,告诉
双音节-说,谈话
双音节-说,叫嚷
双音节-说,责骂
双音节-说,质问
双音节-说,探讨
双音节-说,商谈
双音节-说,畅谈
双音节-说,讲解
单音节-叫,吠
单音节-叫,吼
单音节-叫,嚎
单音节-叫,啼
单音节-叫,鸣
单音节-叫,嘶
单音节-叫,嗷
单音节-叫,吟
单音节-叫,啸
双音节-叫,嘶叫
双音节-叫,嚎叫
双音节-叫,叫嚷
双音节-叫,吼叫
双音节-叫,哀鸣
双音节-叫,长啸
双音节-叫,咆哮
描写口才,能说会道
描写口才,伶牙俐齿
描写口才,口若悬河
描写口才,滔滔不绝
描写口才,妙语连珠
描写口才,出口成章
描写口才,对答如流
描写口才,能言善辩
描写口才,娓娓动听
描写口才,语惊四座
描写口才,侃侃而谈
描写口才,谈笑风生
描写口才,绘声绘色
描写说话状态,唠唠叨叨
描写说话状态,喋喋不休
描写说话状态,慢条斯理
描写说话状态,含糊其辞
描写说话状态,支支吾吾
描写说话状态,喃喃自语
描写说话状态,窃窃私语
描写说话状态,花言巧语
描写说话状态,甜言蜜语
描写说话状态,豪言壮语
描写说话状态,闲言碎语
描写说话状态,直言不讳
描写说话状态,拐弯抹角
